Date,Item,Type,Market,Price
11/03/2026,Beans,Wholesale,Pettah,250
11/03/2026,Beans,Retail,Pettah,300
11/03/2026,Beans,Wholesale,Dambulla,295
11/03/2026,Beans,Retail,Dambulla,325
11/03/2026,Potato (Imp),Wholesale,Pettah,160
11/03/2026,Potato (Imp),Retail,Pettah,230
11/03/2026,Potato (Imp),Wholesale,Dambulla,155
11/03/2026,Potato (Imp),Retail,Dambulla,175
11/03/2026,Potato (Local),Wholesale,Pettah,303
11/03/2026,Potato (Local),Retail,Pettah,370
11/03/2026,Potato (Local),Wholesale,Dambulla,235
11/03/2026,Potato (Local),Retail,Dambulla,255
11/03/2026,Big Onion (Imp),Wholesale,Pettah,131
11/03/2026,Big Onion (Imp),Retail,Pettah,180
11/03/2026,Big Onion (Imp),Wholesale,Dambulla,145
11/03/2026,Big Onion (Imp),Retail,Dambulla,165
11/03/2026,Big Onion (Local),Wholesale,Pettah,NA
11/03/2026,Big Onion (Local),Retail,Pettah,NA
11/03/2026,Big Onion (Local),Wholesale,Dambulla,NA
11/03/2026,Big Onion (Local),Retail,Dambulla,NA
11/03/2026,Red Onion (Local),Wholesale,Pettah,175
11/03/2026,Red Onion (Local),Retail,Pettah,220
11/03/2026,Red Onion (Local),Wholesale,Dambulla,130
11/03/2026,Red Onion (Local),Retail,Dambulla,150
11/03/2026,Lime,Wholesale,Pettah,80
11/03/2026,Lime,Retail,Pettah,130
11/03/2026,Lime,Wholesale,Dambulla,65
11/03/2026,Lime,Retail,Dambulla,95
11/03/2026,Red Onion (Imp),Wholesale,Pettah,216
11/03/2026,Red Onion (Imp),Retail,Pettah,400
11/03/2026,Red Onion (Imp),Wholesale,Dambulla,145
11/03/2026,Red Onion (Imp),Retail,Dambulla,165
11/03/2026,Snake gourd,Wholesale,Pettah,150
11/03/2026,Snake gourd,Retail,Pettah,200
11/03/2026,Snake gourd,Wholesale,Dambulla,85
11/03/2026,Snake gourd,Retail,Dambulla,115
11/03/2026,Pumpkin,Wholesale,Pettah,140
11/03/2026,Pumpkin,Retail,Pettah,200
11/03/2026,Pumpkin,Wholesale,Dambulla,125
11/03/2026,Pumpkin,Retail,Dambulla,155
11/03/2026,Brinjal,Wholesale,Pettah,300
11/03/2026,Brinjal,Retail,Pettah,350
11/03/2026,Brinjal,Wholesale,Dambulla,250
11/03/2026,Brinjal,Retail,Dambulla,280
11/03/2026,Tomato,Wholesale,Pettah,80
11/03/2026,Tomato,Retail,Pettah,130
11/03/2026,Tomato,Wholesale,Dambulla,70
11/03/2026,Tomato,Retail,Dambulla,100
11/03/2026,Cabbage,Wholesale,Pettah,150
11/03/2026,Cabbage,Retail,Pettah,200
11/03/2026,Cabbage,Wholesale,Dambulla,135
11/03/2026,Cabbage,Retail,Dambulla,155
11/03/2026,Carrot,Wholesale,Pettah,250
11/03/2026,Carrot,Retail,Pettah,300
11/03/2026,Carrot,Wholesale,Dambulla,235
